gene_id,Toxin_Nontoxin,Toxin_Class,Icenc-SB0587.genes.results
Icenc-SB0587_VacSNF8_Icenc-SB0587,Nontoxin,Nontoxin,74.26
Icenc-SB0587_VacProt25_Icenc-SB0587,Nontoxin,Nontoxin,87.9
Icenc-SB0587_Vac26A_Icenc-SB0587,Nontoxin,Nontoxin,80.84
Icenc-SB0587_UVExcisionRepair-RAD23-A_Icenc-SB0587,Nontoxin,Nontoxin,31.85
Icenc-SB0587_Uroplakin1b_Icenc-SB0587,Nontoxin,Nontoxin,2.7
Icenc-SB0587_UropIIISynth_Icenc-SB0587,Nontoxin,Nontoxin,33.93
Icenc-SB0587_UpstreamStim1_Icenc-SB0587,Nontoxin,Nontoxin,92.09
Icenc-SB0587_UPF0711_Icenc-SB0587,Nontoxin,Nontoxin,39.75
Icenc-SB0587_UPF0553_Icenc-SB0587,Nontoxin,Nontoxin,25.18
Icenc-SB0587_UPF0464_Icenc-SB0587,Nontoxin,Nontoxin,24.75
Icenc-SB0587_UPF0454_Icenc-SB0587,Nontoxin,Nontoxin,8.21
Icenc-SB0587_UPF0449_Icenc-SB0587,Nontoxin,Nontoxin,29.88
Icenc-SB0587_UPF0139_Icenc-SB0587,Nontoxin,Nontoxin,145.34
Icenc-SB0587_UnnamPro_Icenc-SB0587,Nontoxin,Nontoxin,42.93
Icenc-SB0587_UNC50-1_Icenc-SB0587,Nontoxin,Nontoxin,37.73
Icenc-SB0587_UMP-CMPKin_Icenc-SB0587,Nontoxin,Nontoxin,119.33
Icenc-SB0587_ufmProtease2_Icenc-SB0587,Nontoxin,Nontoxin,24.46
Icenc-SB0587_UDPglucose6-DH-1_Icenc-SB0587,Nontoxin,Nontoxin,12.32
Icenc-SB0587_UDPGlucoronicAcidDecarb1_Icenc-SB0587,Nontoxin,Nontoxin,61.26
Icenc-SB0587_UDPGalTranslocator_Icenc-SB0587,Nontoxin,Nontoxin,35.78
Icenc-SB0587_UCTH25_Icenc-SB0587,Nontoxin,Nontoxin,18.23
Icenc-SB0587_UBX4_Icenc-SB0587,Nontoxin,Nontoxin,104.8
Icenc-SB0587_UbRelMod2_Icenc-SB0587,Nontoxin,Nontoxin,325.9
Icenc-SB0587_UbNTermHydrolaseL5_Icenc-SB0587,Nontoxin,Nontoxin,40.78
Icenc-SB0587_UbModAct5_Icenc-SB0587,Nontoxin,Nontoxin,72.78
Icenc-SB0587_UbMod3_Icenc-SB0587,Nontoxin,Nontoxin,208.2
Icenc-SB0587_UbMod1_Icenc-SB0587,Nontoxin,Nontoxin,151.02
Icenc-SB0587_UbLigTRAF7_Icenc-SB0587,Nontoxin,Nontoxin,49.55
Icenc-SB0587_UbLigRNF4_Icenc-SB0587,Nontoxin,Nontoxin,12.12
Icenc-SB0587_UbLigRNF13_Icenc-SB0587,Nontoxin,Nontoxin,22.75
Icenc-SB0587_UbLigRING2_Icenc-SB0587,Nontoxin,Nontoxin,108.65
Icenc-SB0587_UbLigMGRN1_Icenc-SB0587,Nontoxin,Nontoxin,136.9
