[Header]
Application Name	LabSolutions
Version	5.92
Data File Name	C:\LabSolutions\Data\Rokyta\Icenc-CLP2288_V1897.lcd
Output Date	2/6/2020
Output Time	8:18:11 AM

[File Information]
Type	Data File
Generated	10/11/2019 6:42:20 PM
Generated by	System Administrator
Modified	10/11/2019 9:02:48 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	10/11/2019 6:42:46 PM
Sample Type	0:Unknown
Level	0
Sample Name	Icenc-CLP2288_V1897
Sample ID	Icenc-CLP2288_V1897
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	44

[Original Files]
Data File	C:\LabSolutions\Data\Rokyta\Icenc-CLP2288_V1897.lcd
Method File	C:\LabSolutions\Data\Rokyta\Rokyta_HPLC.lcm
Batch File	C:\LabSolutions\Data\Rokyta\ACW_9samples_10-11-2019.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	50DPCP2-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	119
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
48	42.734	42.483	43.775	4297609	57048	75.334	0.000	 V 			58.446	0	0.000	0.000	0.000	1.013	0	0	0.000	0.000
49	44.237	43.775	45.133	4190805	52462	79.882	0.000	 V 			60.537	0	0.000	0.000	0.000	1.036	0	0	0.000	0.000
50	45.634	45.133	46.133	2893174	48566	59.572	0.000	 V 			62.480	0	0.000	0.000	0.000	1.032	0	0	0.000	0.000
51	46.317	46.133	46.475	949910	46319	20.508	0.000	 V 			63.430	0	0.000	0.000	0.000	1.015	0	0	0.000	0.000
52	47.323	46.475	47.442	2672372	46426	57.562	0.000	 V 			64.831	15	10140.548	0.000	0.000	1.022	0	0	0.000	0.000
53	47.944	47.442	48.142	2030520	50430	40.264	0.000	 V 			65.694	933	160.838	0.000	0.022	1.013	0	0	0.000	0.000
54	49.053	48.142	49.292	4483908	77833	57.609	0.000	 V 			67.236	1562	96.034	0.000	0.197	1.023	0	0	0.000	0.000
55	49.461	49.292	50.075	3276085	75941	43.140	0.000	 V 			67.804	1192	125.811	0.000	0.076	1.008	0	0	0.000	0.000
56	50.429	50.075	51.142	4145909	93898	44.153	0.000	 V 			69.151	17557	8.543	0.000	0.267	1.020	0	0	0.000	0.000
57	51.395	51.142	51.908	2278037	63407	35.927	0.000	 V 			70.495	9545	15.715	0.000	0.533	1.019	0	0	0.000	0.000
58	52.344	51.908	52.725	2504608	61443	40.763	0.000	 V 			71.815	19207	7.810	0.000	0.525	1.019	0	0	0.000	0.000
59	52.828	52.725	52.875	373684	41647	8.973	0.000	 V 			72.488	153	982.615	0.000	0.052	1.009	0	0	0.000	0.000
60	52.992	52.875	53.592	1547386	41963	36.875	0.000	 V 			72.717	908	165.181	0.000	0.014	1.003	0	0	0.000	0.000
61	53.915	53.592	55.908	3688787	30636	120.406	0.000	 V 			74.000	71	2099.610	0.000	0.057	1.018	0	0	0.000	0.000
62	55.975	55.908	56.325	546529	22280	24.530	0.000	 V 			76.866	0	0.000	0.000	0.000	1.039	0	0	0.000	0.000
63	56.742	56.325	56.883	694008	20456	33.926	0.000	 V 			77.932	0	0.000	0.000	0.000	1.014	0	0	0.000	0.000
64	57.179	56.883	57.342	542163	19635	27.612	0.000	 V 			78.541	0	0.000	0.000	0.000	1.008	0	0	0.000	0.000
65	57.619	57.342	57.925	656440	18978	34.590	0.000	 V 			79.152	56	2675.985	0.000	0.000	1.008	0	0	0.000	0.000
66	58.112	57.925	58.458	554335	17721	31.282	0.000	 V 			79.838	0	0.000	0.000	0.000	1.009	0	0	0.000	0.000
67	59.122	58.458	59.383	1071071	23709	45.175	0.000	 V 			81.244	7925	18.927	0.000	0.000	1.018	0	0	0.000	0.000
68	59.566	59.383	60.092	735154	21717	33.852	0.000	 V 			81.862	22498	6.667	0.000	0.209	1.008	0	0	0.000	0.000
69	60.257	60.092	60.342	189513	12582	15.062	0.000	 V 			82.822	0	0.000	0.000	0.000	1.012	0	0	0.000	0.000
70	60.796	60.342	60.942	426897	11702	36.482	0.000	 V 			83.571	0	0.000	0.000	0.000	1.009	0	0	0.000	0.000
71	61.033	60.942	61.342	254779	11069	23.017	0.000	 V 			83.902	0	0.000	0.000	0.000	1.004	0	0	0.000	0.000
72	61.722	61.342	62.142	492346	11111	44.311	0.000	 V 			84.860	6301	23.807	0.000	0.000	1.011	0	0	0.000	0.000
73	62.277	62.142	62.792	295889	8686	34.066	0.000	 V 			85.633	0	0.000	0.000	0.000	1.009	0	0	0.000	0.000
74	63.079	62.792	63.692	267157	5927	45.075	0.000	 V 			86.748	531	282.752	0.000	0.000	1.013	0	0	0.000	0.000
75	63.775	63.692	64.050	59688	3038	19.646	0.000	 V 			87.716	0	0.000	0.000	0.000	1.011	0	0	0.000	0.000
76	64.632	64.050	65.025	71161	1053	67.582	0.000	 V 			88.908	0	0.000	0.000	0.000	1.014	0	0	0.000	0.000
77	66.495	65.908	67.158	21207	532	39.832	0.000	   			91.500	61215	2.450	1.055	0.000	1.029	0	0	0.000	0.000
78	68.560	68.242	68.850	2309	118	19.609	0.000	   			94.373	262449	0.572	0.000	2.565	1.031	0	0	0.000	0.000
79	69.333	68.850	69.483	2924	115	25.488	0.000	 V 			95.448	2226	67.371	0.000	0.241	1.011	0	0	0.000	0.000
80	69.662	69.483	70.083	5078	292	17.417	0.000	 V 			95.906	315843	0.475	0.000	0.103	1.005	0	0	0.000	0.000
81	71.500	70.117	72.733	357958	4394	81.467	0.000	   			98.462	20991	7.146	0.000	1.488	1.027	0	0	0.000	0.000
82	73.206	72.733	73.683	146294	3461	42.271	0.000	 V 			100.835	45175	3.320	0.000	1.018	1.024	0	0	0.000	0.000
83	75.294	73.683	75.483	906674	26696	33.962	0.000	 V 			103.740	26075	5.753	0.000	1.288	1.029	0	0	0.000	0.000
84	76.403	75.483	87.100	32548917	647956	50.233	0.000	SV 			105.283	59452	2.523	1.153	0.711	1.015	0	0	0.000	0.000
85	78.170	77.883	78.742	97201	3679	26.421	0.000	T  			107.740	197043	0.761	1.418	1.805	1.023	0	0	0.000	0.000
86	79.874	79.142	80.883	128753	2393	53.803	0.000	T  			110.111	50079	2.995	1.121	1.599	1.022	0	0	0.000	0.000
87	81.887	81.025	82.650	112961	4329	26.093	0.000	T  			112.911	332938	0.451	0.945	2.018	1.025	0	0	0.000	0.000
88	83.136	82.683	83.625	20015	808	24.767	0.000	T  			114.648	239940	0.625	1.058	2.003	1.015	0	0	0.000	0.000
89	84.234	83.658	84.742	53479	1972	27.123	0.000	T  			116.176	217940	0.688	0.000	1.568	1.013	0	0	0.000	0.000
90	84.961	84.742	85.225	9804	467	20.997	0.000	TV 			117.188	186740	0.803	0.000	0.965	1.009	0	0	0.000	0.000
91	85.579	85.225	86.000	21824	1017	21.462	0.000	TV 			118.048	310340	0.483	0.000	0.883	1.007	0	0	0.000	0.000
92	86.888	86.617	87.100	10955	704	15.563	0.000	T  			119.869	717006	0.209	0.912	2.554	1.015	0	0	0.000	0.000
93	88.433	87.100	91.733	14942021	250947	59.543	0.000	SV 			122.018	52859	2.838	2.209	1.586	1.018	0	0	0.000	0.000
94	91.086	90.750	91.275	119660	6322	18.928	0.000	T  			125.708	341669	0.439	0.000	2.454	1.030	0	0	0.000	0.000
95	91.462	91.275	91.725	63964	3272	19.549	0.000	TV 			126.231	2693	55.709	0.000	0.098	1.004	0	0	0.000	0.000
96	92.273	91.733	92.583	3696495	129513	28.542	0.000	 V 			127.360	143438	1.046	0.000	0.202	1.009	0	0	0.000	0.000
97	92.711	92.583	92.775	1051988	92218	11.408	0.000	 V 			127.969	439	341.924	0.000	0.047	1.005	0	0	0.000	0.000
98	93.050	92.775	94.458	5271119	109396	48.184	0.000	 V 			128.440	49654	3.021	0.000	0.035	1.004	0	0	0.000	0.000
99	94.953	94.458	95.267	1838003	51315	35.818	0.000	 V 			131.087	20884	7.182	0.000	0.885	1.021	0	0	0.000	0.000
